EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
HOSPICARE	HOSPICARE.xlsm	42886	Bodega ECU	SV50A		0	0	ANTEOJOS ENSAMBLADOSM SAFEVIEW UN	0	0	0	0	VISERA	0	0	HALYARD	0	0						0	0	0	2.05	0	0			7	3	4	1	-	SUSP-36	MAC			0	0	0	0	0	0	42666			HALYARD	HALYARD AEREO			1	Default		50	=	1				50	0	33	17	V	V	0			1000000000	43	0.14	0	0	0	0	0	0	43	0.14			0	29					0	0	0	-6.857142857		0	42873	42873	42922	0	0			0	0	0	0	0	0.135135135	0			FALSE		
HOSPICARE	HOSPICARE.xlsm	42886	Bodega ECU	SV250L		0	0	LENTES DE REPUESTOS SAFEVIEW UN	0	0	0	0	VISERA	0	0	HALYARD	0	0						0	0	0	0.76	0	0			7	3	4	1		SUSP-36	MAC			0	0	0	0	0	0	42666			HALYARD	HALYARD AEREO			1	Default		250	=	1				50	0	33	17	L	L	0			1000000000	197	-2.94	0	0	0	0	0	0	197	-2.94			0	29					0	111.72	0	-6.857142857		0	42873	42873	42922	0	0			0	0	0	0	0	0	0.135135135			FALSE		
HOSPICARE	HOSPICARE.xlsm	42886	Bodega ECU	SV100F		0	0	MONTURAS SAFEVIEW/COLORES SURTIDOS UN	0	0	0	0	VISERA	0	0	HALYARD	0	0						0	0	0	0.95	0	0			7	3	4	1		SUSP-36	MAC			0	0	0	0	0	0	42666			HALYARD	HALYARD AEREO			1	Default		100	=	1				50	0	33	17	L	L	0			1000000000	64	-0.28	0	0	0	0	0	0	64	-0.28			0	29					0	13.3	0	-6.857142857		0	42873	42873	42922	0	0			0	0	0	0	0	0	0.135135135			FALSE		
HOSPICARE	HOSPICARE.xlsm	42886	Bodega ECU	PAL60		0	0	MARCO DE ALUMINIO 60 X 115CM UN	0	0	0	0	MULTIMAT	0	0	STERYLAB	0	0						0	0	0	335.61	0	0			13	5	8	1	-	SUSP-78	MAC			0	0	0	0	0	0	42666			STERYLAB	STERYLAB AEREO			1	Default		1	=	1				50	0	33	17	R	R	0			1000000000	1	0.98	0	0	0	0	0	0	1	0.98			49	31					-5369.76	0	0	-3.692307692		0	42873	42873	42964	0	0			0	0	0	0.074626866	0	0	0			FALSE		
HOSPICARE	HOSPICARE.xlsm	42886	Bodega ECU	PAL45		0	0	MARCO DE ALUMINIO 45 X 115CM UN	0	0	0	0	MULTIMAT	0	0	STERYLAB	0	0						0	0	0	388.7	0	0			13	5	8	1		LIBRE-264				0	0	0	0	0	0	42666			STERYLAB	STERYLAB AEREO			1	Default		1	=	1				0	0	0	0	G	G	0			1000000000	1	0	0	0	0	0	0	0	1	0			0	0					0	0	0	0		0	42531	42795	42886	0	0			0	0	0	0	0	0	0.906976744			FALSE		
HOSPICARE	HOSPICARE.xlsm	42886	Bodega ECU	MMB90		0	0	ALFOMBRA BACTERICIDAD MULTIMAT 90 X 115C	0	0	0	0	MULTIMAT	0	0	STERYLAB	0	0						0	0	0	39.35	136.6	0			13	5	8	1	-	SUSP-15	MAC			9.28	3.232758621	2.855603448	0.026939655	0	0	42840			STERYLAB	STERYLAB AEREO			1	Default		5	=	1				120	181	80	40	V	V	200			1000000000	106	0.12	0	0	0	0	0	0	106	0.12			15	74					0	0	0	9.125207702		0	42810	42810	42901	0	0			0.447598124	0	0	0.084337349	0.240963855	0.385542169	0.060240964			FALSE		
HOSPICARE	HOSPICARE.xlsm	42886	Bodega ECU	MMB60		0	0	ALFOMBRA BACTERICIDA MULTIMAT	0	0	0	0	MULTIMAT	0	0	STERYLAB	0	0						0	0	0	31.53	89.39	0			13	5	8	1	-	SUSP-15	MAC		BUF	5.41	0.924214418	0.646950092	0.046210721	0	0	42840			STERYLAB	STERYLAB AEREO			1	Default		5	=	1				20	106	13	7	V	V	40			1000000000	14	0.3	0	0	0	0	0	0	14	0.3			5	12					0	0	0	6.775671522		0	42810	42810	42901	0	0			0.17907177	0	0	0	0	0.771084337	0			FALSE		
HOSPICARE	HOSPICARE.xlsm	42886	Bodega ECU	MMB45		0	0	ALFOMBRA BACTERICIDA MULTIMAT	0	0	0	0	MULTIMAT	0	0	STERYLAB	0	0						0	0	0	25.75	79.13	0			13	5	8	1		SUSP-15	MAC			0.46	10.86956522	9.239130435	0.543478261	0	0	42666			STERYLAB	STERYLAB AEREO			1	Default		10	=	1				20	9	13	7	L	V	30			1000000000	22	-0.1	0	0	0	0	5	0	17	0.15			10	12					0	51.5	0	7.654189694		0	42810	42810	42901	0	0			0.734028169	0	0	0.325301205	0	0	0.445783133			FALSE		
HOSPICARE	HOSPICARE.xlsm	42886	Bodega ECU	99287		0	0	KC100 SURGICAL GOWN	0	0	0	0	BATAS AISLAMIENTO	0	0	HALYARD	0	0						0	0	0	0	0	0			7	3	4	1		LIBRE-306				0	0	0	0	0	0	42666			HALYARD	HALYARD AEREO			1	Default		40	=	1				0	0	0	0	G	G	0			1000000000	1	0	0	0	0	0	0	0	1	0			0	0					0	0	0	0		0	42531	42837	42886	0	0			0	0	0	0	0	0	0.826086957			FALSE		
HOSPICARE	HOSPICARE.xlsm	42886	Bodega ECU	95111		0	0	BATA QUIRURGICA ULTRA L	0	0	0	0	ULTRA	0	0	HALYARD	0	0						0	0	0	6.84	18.94	0			7	3	4	1	+-	LIBRE-22	OK	160		4.33	6.928406467	6.351039261	0.057736721	0	0	42853			HALYARD	HALYARD AEREO			1	Default		32	=	1				120	46	80	40	A	V	200			1000000000	46	0.62	64	0	0	0	0	0	110	0.08			0	69					0	0	0	12.13032581		1	42815	42837	42886	42873	42901	42901		0.893502129	766	0	0.5	0.326086957	0	0			FALSE		
